cntry_code,mso_name,mso_name_cn
HK,3 SING INTERNATIONAL LIMITED,三昇聯匯有限公司
HK,5D LEADING TECH LIMITED,無敵先進科技有限公司
HK,633 LIMITED,
HK,99BILL INTERNATIONAL FINANCIAL SERVICES COMPANY LIMITED,快錢國際金融服務有限公司
HK,A STAR ASIA COMPANY LIMITED,其星亞洲有限公司
HK,AB POINT LIMITED,匯點通有限公司
HK,ABLE LEADERS LIMITED TRADING AS DOR FORTUNE,聯駿匯有限公司 營業名稱 多福
HK,"ABUSALIH, ABDUL RASHEED TRADING AS REAL FOREX &#38; REMITTANCES",
HK,ACU MONEY CHANGER LIMITED,
HK,ADYEN HONG KONG LIMITED,
HK,AERAPAY LIMITED,
HK,AILINGUAL LIMITED,艾靈谷有限公司
HK,AIRWALLEX (HONG KONG) LIMITED,
HK,ALI EXCHANGE LIMITED,阿里找換有限公司
HK,ALL LINK PAY LIMITED TRADING AS ALL LINK PAY,匯騰支付有限公司 營業名稱 全網滙
HK,ALLCOM EXCHANGE (H.K.) LIMITED,
HK,ALLIANCE FOREX LIMITED,安心匯有限公司 營業名稱 安心匯兌換匯款
HK,ALLIED SMART CREATION LIMITED,滙駿創建有限公司
HK,ALLINPAY FINANCIAL SERVICES LIMITED,通華金融服務有限公司
HK,ALLPAY INTERNATIONAL LIMITED,
HK,ALOFT TECHNOLOGY COMPANY LIMITED,邏庫科技有限公司
HK,ALPCORP LIMITED,
HK,ALPHA OMEGA EMPLOYMENT LIMITED TRADING AS ALPHA OMEGA,愛庭僱傭有限公司
HK,ALPHA REMIT LIMITED,
HK,ANGRA HK LIMITED,
HK,ANSARI IDREES AHMED TRADING AS HKBEST EXCHANGE CO.,顏米高
HK,APG WORLDWIDE LIMITED,智匯通香港有限公司
HK,APIKKO HK LIMITED TRADING AS CHANDRA,
HK,APPLE SOUTH-EAST ASIA LIMITED,紅蘋果東南亞有限公司
HK,ARSHAD MAHMOOD TRADING AS ISLANDREMIT,艾卓文
